,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Clostridium sp. Culture-54,1.7284205466087919,1.8081175706473076,1.7016112351677302,1.5328603033855428,1.6002437166793608,1.378389452119557,1.494679674449471,1.7054970434228605
Clostridium sp. Culture-57,1.7279389646855912,1.765688258537484,1.8597078249815355,1.7657276065393939,1.9086958158660214,1.806444073065551,1.767397609437291,1.92764065725174
Clostridium sp. D5,2.0,,2.0,2.0,2.0,,,2.0
Clostridium sp. FCB90-1,,,,,,,,
Clostridium sp. FG4,,,2.0,,,,2.0,2.0
Clostridium sp. HGF2,,2.0,,,,2.0,,
Clostridium sp. HT03-11,,,,,,,,
Clostridium sp. HT03-14,2.0,,,,,,,
Clostridium sp. HT03-186,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. HT03-22,2.0,,,2.0,,,2.0,
Clostridium sp. ID4,1.6479388030326099,1.7061127607359141,1.5163452781014843,1.0521498891346115,1.3269146044179725,1.0716590819563154,1.0622885538393274,1.160447739970088
Clostridium sp. ID5,1.7602160485693157,1.6513340577085598,1.9415683415652685,1.8393584274526529,1.7400192663177905,1.7097358707636257,1.8579286769704553,1.8887400289506913
Clostridium sp. ID6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. K11,,,,,,,,
Clostridium sp. K12,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. K12-15-18,2.0,,2.0,,,,2.0,
Clostridium sp. L2-50,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Clostridium sp. LAR-3,2.0,2.0,1.8060792746312138,2.0,1.5988323154897293,1.7554242066018004,1.5432805270061845,1.413916432216281
Clostridium sp. M62/1,1.9456899548140423,1.8928524839283307,1.9603914904012905,2.0,1.9724856916877893,2.0,2.0,2.0
Clostridium sp. MSTE9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Maddingley MBC34-26,,,,,,,,
Clostridium sp. NML 04A032,,,,,,,,
Clostridium sp. NkU-1,,,,,,,,
Clostridium sp. P530(3),,,,,,,,
Clostridium sp. RT8,2.0,,,,,,,
Clostridium sp. SS2/1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. SY8519,1.6867290713338874,1.76171792569165,1.638776353760724,1.5378146607755423,1.7128028229188097,1.6936260346425323,1.5883913537828747,1.5063842362022188
Clostridium sp. TM-40,,,,,,,,
Clostridium sp. TT-111,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. XB90,,,,,,,,
Clostridium sp. YIT 12069,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. YIT 12070,1.8961038633610365,1.8403173692286587,1.9162745010287539,1.9064473453641693,1.7509726985982041,1.4572102154055773,2.0,1.9256555903439458
Clostridium sp. cTPY-12,1.8802520268922545,1.9167767207610518,1.4817500333653402,1.8099522069159406,1.3759234718664677,1.7285588579921853,1.583073551865349,1.450645044929697
Clostridium sp. cTPY-17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.821178384361594
Clostridium sp. ss1,2.0,,2.0,,2.0,,,
Clostridium sp. strain Z6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. taihuN5,2.0,2.0,,,,,,
Clostridium straminisolvens,,,,,,,,
Clostridium symbiosum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium tepidiprofundi,2.0,2.0,2.0,,2.0,2.0,2.0,2.0
Clostridium termitidis,,,,,,,,
Clostridium thermocellum,1.4370106983562598,1.3253683161109617,1.3597601598934028,1.5716005381546958,1.1993182218187526,1.6172033450948795,1.4336594462267234,1.534186518809839
Clostridium viride,2.0,,,,2.0,,,
Clostridium xylanolyticum,1.6868809678738372,2.0,1.6826957668785223,2.0,1.8147297504210689,1.7270456072640812,2.0,2.0
Clostridium xylanovorans,,,2.0,2.0,2.0,,,
Cohnella xylanilytica,,,,,,,,
Collinsella intestinalis,,,,,,,2.0,
Collinsella stercoris,,,,,,,,
Collinsella tanakaei,,,,,,,,
Colwellia sp. STAB404,,,,,,,,
Comamonas aquatica,,,,,,,,
Conexibacter arvalis,,,,,,,,
Conexibacter sp. BS10,,,,,,,,
Coprobacillus cateniformis,1.7360140792491072,1.7493523966344706,2.0,1.8383500722897288,2.0,2.0,2.0,2.0
Coprobacillus sp. 3_3_56FAA,2.0,,,,,,,
Coprobacillus sp. 8_2_54BFAA,1.633791592506162,1.3959607308778552,1.3881918509504427,1.4584714954103724,1.7083964230770392,1.7030383832713496,1.54688720888934,1.3452115812917596
Coprobacillus sp. D7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Coprobacter fastidiosus,1.5550346842161848,1.4995834517059905,0.6259601417319042,0.9541060109627738,0.4737084689498543,0.7218642603039152,0.4825930353771611,0.497885986937456
Coprococcus catus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Coprococcus comes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Coprococcus eutactus,2.0,,,,2.0,,2.0,
Coprococcus sp. DJF_B005,,,,2.0,,,,
Coriobacterium sp. CCUG 33918,2.0,2.0,2.0,2.0,2.0,2.0,,
Corynebacterium auriscanis,,,,,,,,
Corynebacterium bovis,,,,,,,,
Corynebacterium diphtheriae,,,,,,,,
Corynebacterium lipophiloflavum,,,,,,,,
Corynebacterium mastitidis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Corynebacterium nuruki,,,,,,,,
Corynebacterium sp. 61722,,,,,,,,
Corynebacterium striatum,,,,,,,,
Corynebacterium tuberculostearicum,,,,,,,,
Corynebacterium variabile,,,,,,,,2.0
Cryobacterium aff. psychrophilum A1/C-aer/OI,2.0,2.0,2.0,2.0,2.0,,2.0,
Cryptobacterium curtum,2.0,,2.0,,,,2.0,
Cupriavidus necator,,,,,,,,
Cupriavidus sp. KU-26,2.0,,,,2.0,,,
Curtobacterium sp. HI-F2,,,2.0,,,,,
Curtobacterium sp. RS-3,,,,,,,,2.0
Curtobacterium sp. THG B325,,,,,,,,
Curvibacter fontanus,,,,,,,,
Curvibacter sp. R-36930,,,,,,,,
Cyclobacterium sp. 'BSB S2 03',,,,2.0,,,,
Cytophaga hutchinsonii,2.0,2.0,2.0,2.0,2.0,,,
Cytophaga sp. MBIC01539,,,,,,,,
Cytophaga sp. MEBiC07026,,1.7974411009521307,2.0,1.3012169094244954,,1.3822033898305084,0.823563498119287,0.9179187609313918
Dechloromonas sp. NM,,,,,,,,
Dehalobacter restrictus,,,,,,,,
Dehalobacter sp. 12DCB1A,,,,,,,,
Dehalococcoides sp. KM-2005,,,,,,,,
Deinococcus indicus,,,,,,,,
Delftia acidovorans,,,,,,,,
Denitrobacterium detoxificans,,,,,,,,
Dermacoccus sp. Ellin185,,,,,,,,
Desulfatiferula olefinivorans,,,,,,,,
Desulfitobacterium dehalogenans,,,,,,,,
Desulfonatronum thiodismutans,2.0,,2.0,,,,,
Desulfosporosinus meridiei,2.0,2.0,1.5790156772038042,1.8170732036773392,1.673529809655464,2.0,1.4908680097909999,1.6982659542292569
Desulfosporosinus orientis,,,,,,,,2.0
Desulfosporosinus sp. P1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Desulfotomaculum SeaGull50,1.9636557010106492,,2.0,2.0,2.0,2.0,2.0,2.0
Desulfotomaculum guttoideum,2.0,,,,,,,
Desulfotomaculum indicum,,,,,,,,
Desulfotomaculum salinum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Desulfotomaculum sp. CYP1,,,,,,,,
Desulfotomaculum sp. GY-2,,,,,,,,
Desulfovibrio aespoeensis,,,,,,,,
Desulfovibrio desulfuricans,1.5165966581419688,1.749549468286823,1.2518502901654445,1.4439520175442027,1.516611396667327,1.836253149511014,1.5181735863877202,1.289530083960507
Desulfovibrio fructosovorans,,,,,,,,2.0
Desulfovibrio piger,,,,,,,,
Desulfovibrio sp. 3_1_syn3,,,2.0,,,,,
Desulfovibrio sp. 6_1_46AFAA,,,,,,,,
Desulfovibrio sp. ABHU1SBfatS,,,,,,,,
Desulfovibrio sp. ABHU2SB,2.0,1.420508744038156,2.0,2.0,1.4493750716660934,,2.0,1.6375873673310897
Desulfovibrio sp. UIV,,,,,,,,2.0
Dialister BS016,,,,,,,,
Dialister invisus,,,,,,,,
Dialister succinatiphilus,,2.0,,,,,,
Dietzia sp. M2T8B1,,,,,,,,
Dorea formicigenerans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Dorea longicatena,1.5369951104431046,1.336158668290447,1.6890944737252658,1.6688441501579137,1.4264670739404044,1.3271176340445587,1.3007610832538077,1.2515007620156062
Dorea sp. AP6,2.0,2.0,1.7796763411491554,2.0,2.0,1.5155677655677655,1.7338886835624914,1.7893610813964795
Dyella japonica,,,,,,,,
Dysgonomonas hofstadii,,,,,,,,
Dysgonomonas mossii,,,2.0,,,,,
Dysgonomonas wimpennyi,2.0,,,2.0,2.0,,2.0,
Eggerthella lenta,,,2.0,,,,,
Eggerthella sinensis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eggerthella sp. 1_3_56FAA,,,,,,,,
Eggerthella sp. HGA1,,2.0,,,2.0,,,
Eggerthella sp. YY7918,2.0,1.3491315910677941,1.6123103431771413,1.4651933701657467,1.3723499218924335,1.7391304347826089,1.3584176653600348,1.5313044713295205
Emticicia oligotrophica,,,,,,,,2.0
Enterococcus C100,,,,,,,,
Enterococcus avium,,,,,,,,
Enterococcus dispar,,,,,,,,
Enterococcus faecalis,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Enterococcus faecium,,,,,,,,
Enterococcus gallinarum,2.0,,,,,,,
Enterococcus rivorum,,,,,,,,
Enterorhabdus caecimuris,0.6011296488732262,0.786136611490975,0.8442307900311038,0.6928733764217674,0.7429645541127149,0.630299457108592,0.7300601256983684,0.6314905260564573
Erysipelothrix sp. Oita0548,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Escherichia coli,2.0,2.0,2.0,,2.0,,2.0,2.0
Ethanoligenens harbinense,2.0,,2.0,2.0,2.0,2.0,,2.0
Eubacterium brachy,,,,,,,,
Eubacterium budayi,,,,,2.0,,,
Eubacterium cellulosolvens,,,,,,,,
Eubacterium contortum,,,,,,,,
Eubacterium coprostanoligenes,1.1077363246182401,1.2671835447965853,1.3657999702828645,1.4149738245425834,0.7746442390424146,1.1835751188847863,0.8921677378085551,1.1964249433184515
Eubacterium desmolans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eubacterium eligens,2.0,2.0,2.0,2.0,1.694084843656643,1.6602882242097718,2.0,2.0
Eubacterium fissicatena,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eubacterium hallii,,2.0,,2.0,2.0,,,
Eubacterium limosum,,,2.0,,,2.0,,
Eubacterium oxidoreducens,1.9769036217413758,2.0,1.9787544900848635,2.0,2.0,1.851000077667998,1.9502710446130391,1.8944515837433382
Eubacterium plexicaudatum,1.6984213042993963,1.6500558308456184,1.714254064142181,1.7653133262274885,1.8286117315152226,1.7394600043864545,1.7480632676073509,1.6970085270956619
Eubacterium ramulus,,2.0,2.0,,,,2.0,2.0
Eubacterium rangiferina,2.0,,2.0,,2.0,,,
Eubacterium rectale,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eubacterium ruminantium,,,,,,,,
Eubacterium saphenum,1.5529126171203034,0.6855717154506176,1.2610662810765425,1.272628926178622,1.0720434979610332,0.4,1.5074139419647887,1.4090541196784114
Eubacterium siraeum,1.8561968377684623,2.0,1.831821199380394,2.0,1.8152726502174732,1.887470730347519,1.8860016615344108,1.8088475286948915
Eubacterium sp. 3_1_31,1.7572507739938084,1.6603815179426407,2.0,1.8163077865088275,2.0,2.0,2.0,2.0
Eubacterium sp. 517,,,2.0,,,,2.0,
Eubacterium sp. F1,1.3143696301973842,1.046366214615058,1.12189139654576,0.8268297643622888,1.397252432741844,1.2667001692372506,0.8733196775568007,0.956334552056812
Eubacterium sp. Pei061,1.674816703857188,2.0,1.414416451064613,1.6381050943054503,1.645806742486299,1.3826119621019248,1.5012435853036548,1.5251682368775235
Eubacterium sp. WAL 17363,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eubacterium sp. WAL 18692,,,,,,,,
Eubacterium uniforme,,,,2.0,,,,
Eubacterium ventriosum,1.4816617813976705,1.3051571436419236,1.8369116537960735,1.3566304192662628,0.8675935039916811,1.1844644264402078,1.4940580663655212,1.4076617791774457
Eubacterium xylanophilum,1.9492744006682228,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Exiguobacterium acetylicum,,,,,,,,
Exiguobacterium sp. AT1b,,2.0,,,,,,
Exiguobacterium sp. BM-1,2.0,,,,2.0,,,
Exiguobacterium sp. ERGBD-1,,,,,,,,
Exiguobacterium sp. JL-42,,,,,,,,
Faecalibacterium prausnitzii,2.0,2.0,2.0,2.0,1.8280569597536875,1.8227594536474239,2.0,1.5020398013816254
Faecalibacterium sp. DJF_VR20,,2.0,,,,,,
Faecalibacterium sp. canine oral taxon 147,2.0,2.0,,,2.0,2.0,,2.0
Ferrovum myxofaciens,,,,,,,,
Fibrobacter succinogenes,,,,,,,,
Filifactor alocis,,,,,,,,
Flavisolibacter sp. Gsoil 636,,,,,,,,
Flavobacterium caeni,,,,,,,,
Flavobacterium sp. KB10,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Flavobacterium sp. MTN11,,,,,,,,
Flavobacterium sp. WB4.3-66,,,,,,,,
Flavobacterium succinicans,,,,,,,,
Flavonifractor plautii,1.2471235255807205,1.4956571557183342,2.0,2.0,2.0,1.2699274468190127,2.0,1.250046444804994
Flectobacillus sp. WG3,,,,,,,,
Flexibacter flexilis,,,,,,,,
Flexibacter sp. 58GB,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Flexithrix dorotheae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Frigoribacterium sp. Everest-gws-26,,,,,,,,
Frigoribacterium sp. TSBY-18,,,,,,,,
Frondihabitans sp. KIS82-1,,,,,,,,
Fulvivirga sp. MOLA 70,2.0,,,,,,2.0,
Fusobacterium mortiferum,,0.0,,,,,,
Fusobacterium nucleatum,,,,,,,,
Fusobacterium periodonticum,,,,,,,,
Gemella haemolysans,,,,,,,,
Gemella palaticanis,2.0,2.0,,2.0,2.0,,,
Gemella sanguinis,,,,,,,,
Gemella sp. 933-88,,,,,,,,
Geodermatophilus obscurus,,,,,,,,
Glycine max,,,,,2.0,2.0,,
Gordonibacter pamelaeae,1.1274656617773098,1.3902407621990471,1.1217583754286968,1.153377511757161,0.7509324208725412,1.1022900763358776,0.8641222901472977,0.8251892091453279
Granulicatella adiacens,,,,,,,,
Granulicatella elegans,,,,,,,,
Granulicatella sp. canine oral taxon 095,,,2.0,,,,,
Haemophilus ducreyi,,,,,,,,
Haemophilus haemolyticus,,,,,,,,
Haemophilus parainfluenzae,,,,,,,,
Haemophilus simiae,,,,,,,,
Haemophilus sp. oral taxon 851,,,,,,,,
Hafnia alvei,,,,,,,,
Halobacillus sp. SCSSS13,,2.0,,,,,,
Halomonas shengliensis,,,,,,,,
Halomonas sp. EM490,,,,,,,,
Halomonas sp. ML-185,,,,,,,,
Helicobacter heilmannii,,,,,,,,
Helicobacter macacae,,,,,,,,
Herbaspirillum huttiense,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Herbaspirillum sp. 5410S-62,,,,,,,,
Herbiconiux ginsengi,2.0,,,,2.0,,2.0,
Hoeflea phototrophica,2.0,2.0,2.0,2.0,1.4746355943467278,2.0,2.0,2.0
Holdemania sp. AP2,,,,,2.0,,,
Howardella ureilytica,,,,,,,,
Hydrogenoanaerobacterium saccharovorans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Hydrogenoanaerobacterium sp. YN3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Hydrogenophaga sp. GPTSA100-12,,,,,,,,
Hymenobacter sp. I/74-Cor2,,,,,,,,
Hymenobacter sp. R-36557,,,,,,,,
Hyphomicrobium sp. MC1,,,,,,,,
Idiomarina loihiensis,,,,,,,,
Idiomarina sp. G-R2A15,,,,,,,,
Ilumomonas thalassia,,,,,,,,
Intestinimonas butyriciproducens,1.045728773541453,1.365023370667607,1.1571359469567373,1.2908583131632843,1.1108988371879422,1.4914615770969364,1.463139895785217,1.444712679253069
Intrasporangium calvum,2.0,,,,,,2.0,
Janibacter sp. CV62,,,,,,,,
Janthinobacterium lividum,,,,,,,,
Janthinobacterium sp. HH01,,,,,,,,
Jeotgalicoccus nanhaiensis,,,,,,,,
Kingella oralis,,,,,,,,
Klebsiella pneumoniae,,,2.0,,,,2.0,
Kocuria halotolerans,,,,,,,,
Kocuria rhizophila,,,,,,,,
Kouleothrix aurantiaca,,,,,,,,
Kurthia gibsonii,,,,2.0,,,,
Labedella sp. 6408J-67,,,,,,,,
Lachnobacterium bovis,,,,,2.0,,,
Lachnobacterium sp. G12,,,,,2.0,,,
Lachnobacterium sp. wal 14165,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lachnospira multipara,,,,,,,,
Lachnospira pectinoschiza,1.7441268352046546,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lachnospiraceae 2N1-30,2.0,2.0,2.0,2.0,,,2.0,
Lachnospiraceae BS091,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lachnospiraceae DO008,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lachnospiraceae JI012,,,,,,,,
Lachnospiraceae ncd998f08c1,2.0,2.0,2.0,2.0,2.0,1.6578375700293455,2.0,2.0
Lachnospiraceae oral taxon 096,2.0,,,,,,,2.0
Lachnospiraceae oral taxon 100,,,,,,,,
Lachnospiraceae oral taxon 107,,,,,,,,
Lachnospiraceae oral taxon A61,,,,,,,,
Lachnospiraceae oral taxon G33,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lacibacter cauensis,,,,,,,,
Lactobacillus acidophilus,,2.0,,2.0,2.0,2.0,2.0,
Lactobacillus amylolyticus,,,,,,,,
Lactobacillus amylovorus,2.0,2.0,,,,,,
Lactobacillus animalis,2.0,2.0,1.6873481330704154,2.0,1.805055867581425,2.0,1.5250264977727037,2.0
Lactobacillus antri,,,,,,,2.0,
Lactobacillus apodemi,2.0,,2.0,2.0,2.0,,,2.0
Lactobacillus casei,2.0,2.0,1.6048097494922136,2.0,1.623578818768374,1.348249763481551,2.0,1.6161952223530165
Lactobacillus crispatus,2.0,2.0,2.0,2.0,1.7296849484970527,2.0,1.7648472562953748,1.5118348919703324
Lactobacillus delbrueckii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus fermentum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus floricola,,2.0,,,,,2.0,
Lactobacillus gasseri,2.0,2.0,2.0,1.4600265363473783,1.6846884966370892,1.8128144562488744,1.6537624067300263,1.6215047118801176
Lactobacillus hominis,,,2.0,,,,2.0,2.0
Lactobacillus homohiochii,,,,,,,,
Lactobacillus iners,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus intestinalis,1.8390999960536096,0.9748404672062172,0.6331275041972537,0.5389027742724225,0.7751890686772807,0.7447590035316496,0.6163839440541328,0.5583257788853271
Lactobacillus jensenii,,,,,,,,
Lactobacillus johnsonii,1.8791473537731076,1.7446584014771822,1.3534227826540264,1.4166710136700478,1.3464839412292495,1.6451712731085755,1.1741407073597385,1.1013277055004944
Lactobacillus mucosae,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus murinus,1.765800967950801,1.1776147370113992,1.105252805095698,1.521732297204343,1.15874717715525,1.3728766320668573,1.5005655832038562,1.410948908291802
Lactobacillus oral taxon H25,,,,,,,,
Lactobacillus oris,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus paracasei,,,,,,,,
Lactobacillus pasteurii,,,,,,,,
Lactobacillus pontis,,,,,,,,
Lactobacillus reuteri,1.0570008155638495,0.49938597392312617,0.6489037946751175,1.069581991499685,0.7713838812588737,0.5449034168408948,0.7573601204011163,0.48426674265406044
Lactobacillus rhamnosus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus rogosae,2.0,2.0,1.8867330407901446,2.0,2.0,1.850435702079852,1.8517348924357666,1.8672336812591477
Lactobacillus ruminis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus sakei,,,,,,,,2.0
Lactobacillus salivarius,,2.0,,,,,,
Lactobacillus secaliphilus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus sp. ASF360,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus sp. BL301,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Lactobacillus sp. BL302,2.0,,2.0,2.0,2.0,,2.0,2.0
Lactobacillus sp. BL303,,,,,,,,
Lactobacillus sp. DJF_RP24,,2.0,,,,,,
Lactobacillus sp. IDSAc,,,,,,2.0,,2.0
Lactobacillus sp. NBRC 107227,,,,,,,,
Lactobacillus sp. NBRC 14513,,,,,,,,
Lactobacillus sp. OR1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lactobacillus sp. TS1,2.0,2.0,,2.0,,,2.0,
Lactobacillus sp. ls79,1.8922740503822513,1.206955634748007,0.6393284475253662,0.5590063317203597,0.6736847542081733,1.3783184647567905,0.6113796234129394,0.6311103591679424
Lactobacillus sucicola,,,,,,,2.0,
Lactobacillus taiwanensis,1.0833606857974456,0.6375929609451417,0.7214365578051791,0.4193418913232247,0.7275397526513574,0.42786828536927135,0.4444499621768339,0.47963223456524007
Lactobacillus vaginalis,,,,,,,,
Lactococcus garvieae,1.5366977740254102,1.696429736105662,1.9051211119536877,1.4722494559092436,1.7570927170036692,1.5205225241286533,1.6718502228961418,1.7199174774159236
Lactococcus lactis,,2.0,,,,,,2.0
Lactococcus raffinolactis,,,,,,0.0,,
Lactococcus sp. F9,,,,,,,,
Lactococcus sp. NBRC 106000,,,,,,,,
Lactococcus sp. NBRC 106030,,,,,,,,
Lactococcus sp. NBRC 106034,,,,,2.0,,,
Lactococcus sp. UNK2,,,,,,,,
Lactonifactor longoviformis,,,,,,,,
Lautropia mirabilis,,,,,,,,
Legionella sp. W10-070,,,,,,,,
Legionella waltersii,,,,,,,,
Leifsonia kafniensis,,,,2.0,2.0,,2.0,
Leifsonia sp. 5GH 26-15,2.0,,2.0,,2.0,,2.0,2.0
Leptolinea tardivitalis,,,,,,,,
Leptothrix ginsengisoli,,,,,,,,
Leptotrichia BU064,,,,,,,,
Leptotrichia Phil b74,,,,,,,,
Leptotrichia genomosp. C1,,,,,,,,
Leucobacter chromiiresistens,,,,0.0,,,,
Leuconostoc sp. PSMS1-5,,,,,,,,
Limibacter armeniacum,0.9649851312257725,1.2297067141674083,1.3986370615118018,1.3811684051998927,1.4262988891788546,1.3492930591259644,1.4237696589304822,1.351261560563886
Listeria welshimeri,,,,,2.0,,,
Luteimicrobium subarcticum,,,,,,,,
Lutispora thermophila,,,,,,,,
Lysobacter sp. BBCT65,,,,,,,,
Macrococcus caseolyticus,2.0,,,,,,,
Mahella australiensis,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Mangrovimonas yunxiaonensis,2.0,2.0,2.0,2.0,2.0,,2.0,
Maribacter sp. E-10,,,2.0,,2.0,,,
Maribacter sp. HT7-2,2.0,2.0,,2.0,,,2.0,
Maribacter sp. W-4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Marinifilum fragile,2.0,,2.0,2.0,2.0,0.0,2.0,2.0
Marinilabilia salmonicolor,,,,,,,,
Marinilactibacillus piezotolerans,,,,,,,,
Mariniradius saccharolyticus,,,,,,,,
Marinomonas basaltis,,,,,,,,
Marinomonas sp. MED121,,,,,,,,
Marivirga tractuosa,,,2.0,,,,,
Marmoricola bigeumensis,,,,,,,,
Marvinbryantia formatexigens,1.6416666575189394,1.8087661306889276,1.8291338734940932,1.472873769024172,2.0,1.811441810728925,1.898158683858151,1.8174830676300109
Massilia brevitalea,,,,,,,,
Megamonas funiformis,,2.0,2.0,2.0,2.0,,2.0,
Megamonas hypermegale,,,,,,,,
Megasphaera elsdenii,,2.0,,,2.0,,,
Megasphaera sp. NP3,,,2.0,,,,,
Megasphaera sp. UPII 135-E,,,,,,,,
Meniscus glaucopis,,,,,,,2.0,2.0
Mesoflavibacter zeaxanthinifaciens,,,,,,,,
Methylibium petroleiphilum,,,,,,,,
Methylobacterium MD02H10,,,,,,,,
Methylobacterium extorquens,,,,,,,,
Methylobacterium jeotgali,,,,,,,,
Methylobacterium sp. 189,,,,,,,,
Methylobacterium sp. GSL-1,,,,,,,,
Methylophaga marina,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Methylophilus leisingeri,,,,,,,,
Methylosinus sp. R-45380,,,,,,,,
Microbacterium invictum,,,,,,,,
Microbacterium laevaniformans,,,,,,,,
Microbacterium sp. 5,,,,,,,,
Microbacterium sp. SW101,,,,,,,2.0,
Micrococcus luteus,2.0,,,,,,,
Micrococcus sp. HW05-08,,,,,,,,
Mitsuaria sp. H29L1B,,,,,,,,
Mogibacterium pumilum,,,2.0,2.0,2.0,,2.0,
Mogibacterium sp. CM50,,,,,,,2.0,2.0
Mogibacterium vescum,,,,,,,2.0,
Moorella sp. CF5,,,,,2.0,,,
Moorella thermoacetica,2.0,,2.0,2.0,2.0,,2.0,2.0
Moraxella osloensis,,,,,,,,
Mucispirillum schaedleri,1.8949920067223203,2.0,1.8591048961274381,1.828498277350611,1.872153882396321,2.0,2.0,1.806830790991452
Mycobacterium engbaekii,,,,,,,,
Natronincola ferrireducens,,,,,,,,
Nautilia profundicola,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Neisseria canis,,,,,,,,
Neisseria cinerea,,,,,,,,
Neisseria elongata,,,,,,,,
Neisseria macacae,,,,,2.0,2.0,,
Neisseria subflava,,,,,2.0,,2.0,
Nevskia sp. Iso-59,,,,,,,,
Nitrosomonas sp. Is32,,,,,,,,
Nocardioides pyridinolyticus,,,,,,,,
Nocardioides sp.,,,,,,,,
Nocardiopsis dassonvillei,,,,,,,,
Nostoc sp. SAG 41.87,,,,,,,,
Nubsella zeaxanthinifaciens,0.4306399086419653,0.4591432513460574,0.4275287921680148,0.3757994134925811,0.5013502229431182,0.5763104585203109,0.3804167522651555,0.5954737911265499
Oceanobacillus indicireducens,,,,,,,,
Oceanobacillus sp. AvH 7,,,,,,,,
Oceanobacillus sp. ITT11,,,,,,,,
Oceanobacillus sp. Ndiop,,,,,,,,
Octadecabacter sp. SS10.21,,,,,,,,
Odoribacter laneus,,,2.0,2.0,,,,
Odoribacter splanchnicus,0.9720781572276542,1.3147559327099168,1.1925843383331127,1.224898960745711,0.7886438409819717,1.4425860615830257,1.0224823036109623,1.1427173596363125
Ohtaekwangia koreensis,,,,,,,,
Okibacterium fritillariae,,,,,,,,
Olivibacter sp. 14-2A,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Olsenella F0004,,,,,,,,
Olsenella profusa,,,,,,2.0,,
Olsenella sp. 1832,,,,,,,,
Olsenella sp. SK9K4,,,,,2.0,,,
Olsenella sp. oral taxon 809,2.0,,,,,,,
Olsenella uli,,,2.0,,2.0,,,
Olsenella umbonata,,,2.0,,2.0,,,
Opitutus terrae,,,,,,,,
Oribacterium MCE7 60 E1,,,,,,,,
Oribacterium sinus,,,2.0,,,,,
